



cms_fake_b,cat12,WMinusH,1.004,0.997
cms_fake_b,cat12,GluGlu,1.001,1.000
cms_fake_b,cat12,WPlusH,0.990,0.997
cms_fake_b,cat12,ZH,1.003,1.005
cms_fake_b,cat12,VBF,1.000,1.000

cms_fake_b,cat10,WMinusH,1.000,1.003
cms_fake_b,cat10,GluGlu,0.999,0.997
cms_fake_b,cat10,WPlusH,0.998,0.999
cms_fake_b,cat10,ZH,0.998,1.000
cms_fake_b,cat10,VBF,1.002,1.002

cms_fake_b,cat11,WMinusH,1.003,1.002
cms_fake_b,cat11,GluGlu,0.998,1.000
cms_fake_b,cat11,WPlusH,1.001,1.005
cms_fake_b,cat11,ZH,1.004,1.002
cms_fake_b,cat11,VBF,1.003,1.005

cms_fake_b,cat0,WMinusH,0.975,1.023
cms_fake_b,cat0,GluGlu,0.987,1.004
cms_fake_b,cat0,WPlusH,0.974,1.025
cms_fake_b,cat0,ZH,0.986,1.014
cms_fake_b,cat0,VBF,0.982,1.033

cms_fake_b,cat1,WMinusH,0.992,0.993
cms_fake_b,cat1,GluGlu,0.993,1.001
cms_fake_b,cat1,WPlusH,1.014,1.004
cms_fake_b,cat1,ZH,0.998,0.993
cms_fake_b,cat1,VBF,1.003,1.000

cms_fake_b,cat2,WMinusH,0.997,1.000
cms_fake_b,cat2,GluGlu,1.001,1.000
cms_fake_b,cat2,WPlusH,0.996,1.000
cms_fake_b,cat2,ZH,0.998,1.002
cms_fake_b,cat2,VBF,0.991,1.000

cms_fake_b,cat3,WMinusH,0.998,1.001
cms_fake_b,cat3,GluGlu,1.008,1.003
cms_fake_b,cat3,WPlusH,0.999,1.001
cms_fake_b,cat3,ZH,1.003,0.999
cms_fake_b,cat3,VBF,1.003,1.002

cms_fake_b,cat4,WMinusH,0.998,0.995
cms_fake_b,cat4,GluGlu,0.999,0.997
cms_fake_b,cat4,WPlusH,1.004,0.998
cms_fake_b,cat4,ZH,1.002,1.003
cms_fake_b,cat4,VBF,0.998,1.008

cms_fake_b,cat5,WMinusH,0.997,1.001
cms_fake_b,cat5,GluGlu,1.002,1.002
cms_fake_b,cat5,WPlusH,0.996,0.993
cms_fake_b,cat5,ZH,0.995,0.995
cms_fake_b,cat5,VBF,0.994,0.994

cms_fake_b,cat6,WMinusH,1.003,0.998
cms_fake_b,cat6,GluGlu,1.003,1.002
cms_fake_b,cat6,WPlusH,1.007,1.010
cms_fake_b,cat6,ZH,1.002,0.999
cms_fake_b,cat6,VBF,0.995,0.995

cms_fake_b,cat7,WMinusH,1.001,1.001
cms_fake_b,cat7,GluGlu,0.996,0.999
cms_fake_b,cat7,WPlusH,0.995,0.992
cms_fake_b,cat7,ZH,1.001,1.003
cms_fake_b,cat7,VBF,1.000,1.004

cms_fake_b,cat8,WMinusH,0.999,1.005
cms_fake_b,cat8,GluGlu,1.000,1.005
cms_fake_b,cat8,WPlusH,0.998,1.007
cms_fake_b,cat8,ZH,0.995,1.003
cms_fake_b,cat8,VBF,0.987,1.006

cms_fake_b,cat9,WMinusH,1.002,1.000
cms_fake_b,cat9,GluGlu,0.999,1.001
cms_fake_b,cat9,WPlusH,1.010,1.001
